3.07399
Dad, Mom, Heather, Nick, Rulon, George, Olivia, Thomas
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
Sink1, Sink2, None, None, None, None, None, None, 
